token,true_tag,pred_tag,error_type
👍,O,I-PRODUCT,Entity vs O Error
🏻,O,I-PRODUCT,Entity vs O Error
jujur,B-PRODUCT,O,Entity vs O Error
ga,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
uda,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
uda,I-PRODUCT,O,Entity vs O Error
UNK,I-PRODUCT,O,Entity vs O Error
bgt,I-PRODUCT,O,Entity vs O Error
UNK,B-PRODUCT,O,Entity vs O Error
UNK,I-PRODUCT,O,Entity vs O Error
15,I-PRODUCT,O,Entity vs O Error
-,I-PRODUCT,O,Entity vs O Error
30,I-PRODUCT,O,Entity vs O Error
K,I-PRODUCT,O,Entity vs O Error
 ,I-PRODUCT,O,Entity vs O Error
buat,I-PRODUCT,O,Entity vs O Error
rasa,I-PRODUCT,B-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
tapi,B-PRODUCT,I-PRODUCT,Boundary Error
Nyobain,B-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
disini,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
Baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
.,I-PRODUCT,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
saat,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
siang,I-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
ramai,I-PRODUCT,O,Entity vs O Error
untuk,I-PRODUCT,O,Entity vs O Error
makanan,I-PRODUCT,B-PRODUCT,Boundary Error
aku,B-PRODUCT,I-PRODUCT,Boundary Error
sudah,I-PRODUCT,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
es,B-PRODUCT,I-PRODUCT,Boundary Error
Pesan,B-PRICE,I-PRODUCT,Label Error
yg,I-PRICE,I-PRODUCT,Label Error
paling,I-PRICE,I-PRODUCT,Label Error
favorite,I-PRICE,I-PRODUCT,Label Error
",",I-PRICE,O,Entity vs O Error
tp,I-PRICE,O,Entity vs O Error
ga,I-PRICE,I-PRODUCT,Label Error
.,I-PRICE,O,Entity vs O Error
Rasa,I-PRICE,B-PRODUCT,Label Error
juga,I-PRICE,I-PRODUCT,Label Error
B,I-PRICE,I-PRODUCT,Label Error
aja,I-PRICE,I-PRODUCT,Label Error
.,I-PRICE,I-PRODUCT,Label Error
baksonya,B-PRODUCT,I-PRODUCT,Boundary Error
uratnya,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
kuah,B-PRODUCT,I-PRODUCT,Boundary Error
tapi,O,I-PRODUCT,Entity vs O Error
overall,B-PRODUCT,I-PRODUCT,Boundary Error
udah,O,I-PRODUCT,Entity vs O Error
berkali-kali,O,I-PRODUCT,Entity vs O Error
ngajak,O,I-PRODUCT,Entity vs O Error
temen,O,I-PRODUCT,Entity vs O Error
/,O,I-PRODUCT,Entity vs O Error
keluarga,O,I-PRODUCT,Entity vs O Error
kesini,O,I-PRODUCT,Entity vs O Error
sama,O,I-PRODUCT,Entity vs O Error
yg,O,I-PRODUCT,Entity vs O Error
colombo,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
ajak,B-PROMOTION,I-PRODUCT,Label Error
keluarga,I-PROMOTION,I-PRODUCT,Label Error
biar,I-PROMOTION,I-PRODUCT,Label Error
bisa,I-PROMOTION,I-PRODUCT,Label Error
ikit,I-PROMOTION,I-PRODUCT,Label Error
rasain,I-PROMOTION,I-PRODUCT,Label Error
superr,I-PRODUCT,O,Entity vs O Error
🤤,I-PRODUCT,O,Entity vs O Error
❤,I-PRODUCT,O,Entity vs O Error
️,I-PRODUCT,O,Entity vs O Error
nyaman,O,I-PLACE,Entity vs O Error
dan,B-PRODUCT,I-PRODUCT,Boundary Error
...,O,I-PRODUCT,Entity vs O Error
original,B-PRODUCT,I-PRODUCT,Boundary Error
kuliah,I-PRODUCT,O,Entity vs O Error
dulu,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
andalan,O,I-PRODUCT,Entity vs O Error
pegawai,B-PROMOTION,O,Entity vs O Error
nya,I-PROMOTION,I-PRODUCT,Label Error
ramah,I-PROMOTION,O,Entity vs O Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
Udah,B-PRODUCT,O,Entity vs O Error
dua,I-PRODUCT,O,Entity vs O Error
di,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
aja,I-PRODUCT,O,Entity vs O Error
",",B-PROMOTION,O,Entity vs O Error
pelayanan,I-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
buat,B-PROMOTION,O,Entity vs O Error
kebersihan,I-PROMOTION,O,Entity vs O Error
perlu,I-PROMOTION,O,Entity vs O Error
di,I-PROMOTION,O,Entity vs O Error
tingkatkan,I-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
ya,I-PROMOTION,O,Entity vs O Error
kak🫡,I-PROMOTION,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
mantab,B-PRODUCT,I-PRODUCT,Boundary Error
Alhamdulillah,B-PRODUCT,O,Entity vs O Error
rasa,I-PRODUCT,B-PRODUCT,Boundary Error
harapan,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
cocok,B-PLACE,I-PLACE,Boundary Error
sama,I-PLACE,O,Entity vs O Error
Pesannya,B-PRODUCT,O,Entity vs O Error
menu,I-PRODUCT,O,Entity vs O Error
paket,I-PRODUCT,O,Entity vs O Error
rame,I-PRODUCT,O,Entity vs O Error
&,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
masya,I-PRODUCT,O,Entity vs O Error
Allah,I-PRODUCT,O,Entity vs O Error
..,I-PRODUCT,O,Entity vs O Error
pelayanan,B-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
&,I-PROMOTION,O,Entity vs O Error
ramah,I-PROMOTION,O,Entity vs O Error
..,I-PROMOTION,O,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
jagaa,O,I-PROMOTION,Entity vs O Error
menuu,O,I-PROMOTION,Entity vs O Error
Pedesnya,B-PRODUCT,I-PRODUCT,Boundary Error
harga,B-PRICE,I-PRICE,Boundary Error
sangat,B-PRODUCT,I-PRODUCT,Boundary Error
",",B-PLACE,O,Entity vs O Error
pelayanan,B-PROMOTION,O,Entity vs O Error
bagus,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
wajib,B-PROMOTION,O,Entity vs O Error
balik,I-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
Mantap,O,B-PRODUCT,Entity vs O Error
sekali,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
ga,O,I-PRODUCT,Entity vs O Error
pernah,O,I-PRODUCT,Entity vs O Error
bosan,O,I-PRODUCT,Entity vs O Error
Cuma,B-PROMOTION,O,Entity vs O Error
satu,I-PROMOTION,O,Entity vs O Error
kasir,I-PROMOTION,O,Entity vs O Error
saat,I-PROMOTION,O,Entity vs O Error
penuh,I-PROMOTION,I-PRODUCT,Label Error
",",B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
Pas,O,I-PRODUCT,Entity vs O Error
!,O,I-PRODUCT,Entity vs O Error
MAKANAN,B-PRODUCT,O,Entity vs O Error
=,I-PRODUCT,O,Entity vs O Error
OK,I-PRODUCT,O,Entity vs O Error
Baksonya,O,B-PRODUCT,Entity vs O Error
baksonya,O,I-PRODUCT,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
menunya,B-PRODUCT,I-PRODUCT,Boundary Error
karyawan,B-PROMOTION,O,Entity vs O Error
nya,I-PROMOTION,O,Entity vs O Error
ramah,I-PROMOTION,O,Entity vs O Error
semua,I-PROMOTION,O,Entity vs O Error
Ada,B-PLACE,O,Entity vs O Error
indoor,I-PLACE,O,Entity vs O Error
.,I-PLACE,O,Entity vs O Error
",",B-PLACE,I-PRODUCT,Label Error
tempatnya,I-PLACE,B-PLACE,Boundary Error
harga,B-PRICE,I-PRICE,Boundary Error
porsi,B-PRODUCT,B-PLACE,Label Error
besar,I-PRODUCT,I-PLACE,Label Error
dan,I-PRODUCT,B-PLACE,Label Error
area,I-PRODUCT,B-PLACE,Label Error
strategis,I-PRODUCT,I-PLACE,Label Error
Top,B-PRODUCT,I-PRODUCT,Boundary Error
😍,I-PRODUCT,B-PRODUCT,Boundary Error
Baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
Kuah,B-PRODUCT,I-PRODUCT,Boundary Error
🤤,O,I-PRODUCT,Entity vs O Error
iseng,B-PRODUCT,O,Entity vs O Error
iseng,I-PRODUCT,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
pilihan,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
rekomen,B-PRODUCT,I-PRODUCT,Boundary Error
Makanan,I-PRODUCT,B-PRODUCT,Boundary Error
Bakso,I-PRODUCT,B-PRODUCT,Boundary Error
harga,B-PRICE,I-PRICE,Boundary Error
pas,I-PRICE,I-PRODUCT,Label Error
1,B-PLACE,I-PLACE,Boundary Error
.,I-PLACE,O,Entity vs O Error
2,O,I-PLACE,Entity vs O Error
.,O,I-PLACE,Entity vs O Error
pas,O,I-PLACE,Entity vs O Error
masuk,O,I-PLACE,Entity vs O Error
ada,O,I-PLACE,Entity vs O Error
.,B-PLACE,O,Entity vs O Error
ada,I-PLACE,O,Entity vs O Error
musholla,I-PLACE,O,Entity vs O Error
dan,I-PLACE,O,Entity vs O Error
7,O,I-PLACE,Entity vs O Error
kalo,O,I-PLACE,Entity vs O Error
UNK,O,I-PLACE,Entity vs O Error
Salah,B-PRODUCT,I-PRODUCT,Boundary Error
satu,I-PRODUCT,O,Entity vs O Error
di,I-PRODUCT,O,Entity vs O Error
DIY,I-PRODUCT,O,Entity vs O Error
harganya,B-PRICE,I-PRICE,Boundary Error
Dapat,B-PRODUCT,I-PRICE,Label Error
es,I-PRODUCT,B-PRODUCT,Boundary Error
krim,I-PRODUCT,I-PRICE,Label Error
juga,I-PRODUCT,I-PRICE,Label Error
tidak,O,I-PRODUCT,Entity vs O Error
sesuai,O,I-PRODUCT,Entity vs O Error
ekspetasi,O,I-PRODUCT,Entity vs O Error
banget,O,I-PRODUCT,Entity vs O Error
pas,O,I-PRODUCT,Entity vs O Error
.pokoknya,B-PRODUCT,I-PRODUCT,Boundary Error
ternyata,O,I-PRODUCT,Entity vs O Error
UNK,B-PRODUCT,I-PRODUCT,Boundary Error
kuah,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
untuk,B-PLACE,I-PLACE,Boundary Error
nunggu,I-PLACE,O,Entity vs O Error
beberapa,I-PLACE,O,Entity vs O Error
menit,I-PLACE,O,Entity vs O Error
",",I-PLACE,O,Entity vs O Error
padahal,I-PLACE,O,Entity vs O Error
sebenernya,I-PLACE,O,Entity vs O Error
bisa,I-PLACE,O,Entity vs O Error
aja,I-PLACE,O,Entity vs O Error
kalo,I-PLACE,O,Entity vs O Error
di,I-PLACE,O,Entity vs O Error
bagi,I-PLACE,O,Entity vs O Error
section,I-PLACE,O,Entity vs O Error
nya,I-PLACE,O,Entity vs O Error
biar,I-PLACE,O,Entity vs O Error
lebih,I-PLACE,O,Entity vs O Error
rapih,I-PLACE,O,Entity vs O Error
untuk,B-PRODUCT,O,Entity vs O Error
makanan,I-PRODUCT,O,Entity vs O Error
ya,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
makanan,I-PRODUCT,B-PRODUCT,Boundary Error
pelayanan,B-PROMOTION,O,Entity vs O Error
cukup,I-PROMOTION,O,Entity vs O Error
baik,I-PROMOTION,O,Entity vs O Error
suasana,B-PLACE,O,Entity vs O Error
masih,I-PLACE,O,Entity vs O Error
terasa,I-PLACE,O,Entity vs O Error
vibe,I-PLACE,O,Entity vs O Error
kampusnya,I-PLACE,O,Entity vs O Error
.,I-PLACE,O,Entity vs O Error
harga,I-PRODUCT,I-PRICE,Label Error
22k,I-PRODUCT,I-PRICE,Label Error
sebetullny,I-PRODUCT,I-PRICE,Label Error
sdh,B-PRODUCT,I-PRICE,Label Error
efort,I-PRODUCT,I-PRICE,Label Error
Mie,I-PRODUCT,B-PRODUCT,Boundary Error
ayam,I-PRODUCT,B-PRODUCT,Boundary Error
rasa,I-PRODUCT,B-PRODUCT,Boundary Error
..,O,I-PRODUCT,Entity vs O Error
Es,B-PRODUCT,I-PRODUCT,Boundary Error
untuk,B-PLACE,O,Entity vs O Error
atmosfir,I-PLACE,B-PLACE,Boundary Error
.,O,I-PLACE,Entity vs O Error
Tapi,B-PRODUCT,O,Entity vs O Error
experience,I-PRODUCT,O,Entity vs O Error
disini,I-PRODUCT,O,Entity vs O Error
4,I-PRODUCT,O,Entity vs O Error
/,I-PRODUCT,O,Entity vs O Error
5,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
worth,I-PRODUCT,O,Entity vs O Error
it,I-PRODUCT,O,Entity vs O Error
buat,I-PRODUCT,O,Entity vs O Error
sesekali,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
disini,I-PRODUCT,O,Entity vs O Error
Warung,B-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
sepi,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
gak,I-PROMOTION,O,Entity vs O Error
terlalu,I-PROMOTION,O,Entity vs O Error
rame,I-PROMOTION,O,Entity vs O Error
tapi,I-PROMOTION,O,Entity vs O Error
pelayanannya,I-PROMOTION,O,Entity vs O Error
lamaaaaaaa,I-PROMOTION,O,Entity vs O Error
banget,I-PROMOTION,O,Entity vs O Error
njiir,I-PROMOTION,O,Entity vs O Error
nungguin,B-PROMOTION,O,Entity vs O Error
bakso,I-PROMOTION,O,Entity vs O Error
seporsi,I-PROMOTION,O,Entity vs O Error
udah,I-PROMOTION,O,Entity vs O Error
kayak,I-PROMOTION,O,Entity vs O Error
nungguin,I-PROMOTION,O,Entity vs O Error
kuota,I-PROMOTION,O,Entity vs O Error
haji,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Setengah,B-PROMOTION,O,Entity vs O Error
jam,I-PROMOTION,O,Entity vs O Error
lebih,I-PROMOTION,O,Entity vs O Error
gila,I-PROMOTION,O,Entity vs O Error
gak,I-PROMOTION,O,Entity vs O Error
tuh,I-PROMOTION,O,Entity vs O Error
Waktu,B-PROMOTION,O,Entity vs O Error
di,I-PROMOTION,O,Entity vs O Error
Jogja,I-PROMOTION,O,Entity vs O Error
yang,I-PROMOTION,O,Entity vs O Error
terbatas,I-PROMOTION,O,Entity vs O Error
habis,I-PROMOTION,O,Entity vs O Error
cuma,I-PROMOTION,O,Entity vs O Error
buat,I-PROMOTION,O,Entity vs O Error
nungguin,I-PROMOTION,O,Entity vs O Error
bakso,I-PROMOTION,O,Entity vs O Error
seporsi,I-PROMOTION,O,Entity vs O Error
...,I-PROMOTION,O,Entity vs O Error
Gak,B-PROMOTION,O,Entity vs O Error
bakal,I-PROMOTION,O,Entity vs O Error
kesini,I-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
Kuahnya,B-PRODUCT,I-PRODUCT,Boundary Error
.,B-PLACE,I-PRODUCT,Label Error
Kalo,I-PLACE,I-PRODUCT,Label Error
mau,I-PLACE,I-PRODUCT,Label Error
pesen,I-PLACE,I-PRODUCT,Label Error
saran,I-PLACE,I-PRODUCT,Label Error
jangan,I-PLACE,I-PRODUCT,Label Error
pas,I-PLACE,I-PRODUCT,Label Error
makan,I-PLACE,I-PRODUCT,Label Error
siang,I-PLACE,O,Entity vs O Error
",",I-PLACE,O,Entity vs O Error
pooool,I-PLACE,I-PRODUCT,Label Error
.,I-PLACE,O,Entity vs O Error
UNK,B-PLACE,I-PRODUCT,Label Error
enak,I-PLACE,I-PRODUCT,Label Error
Pertama,B-PRODUCT,O,Entity vs O Error
kali,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
disini,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
bolak,I-PRODUCT,O,Entity vs O Error
balik,I-PRODUCT,O,Entity vs O Error
cm,I-PRODUCT,O,Entity vs O Error
lewat,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
penasaran,I-PRODUCT,O,Entity vs O Error
krn,I-PRODUCT,O,Entity vs O Error
rame,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Makanan,I-PRODUCT,O,Entity vs O Error
harga,B-PRICE,I-PRICE,Boundary Error
.,I-PRODUCT,O,Entity vs O Error
Mohon,B-PLACE,O,Entity vs O Error
tingkatkan,I-PLACE,O,Entity vs O Error
kebersihan,I-PLACE,O,Entity vs O Error
saat,I-PLACE,O,Entity vs O Error
membersihkan,I-PLACE,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
ada,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
menurutku,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
untuk,B-PRICE,I-PRODUCT,Label Error
4,I-PRICE,O,Entity vs O Error
bakso,I-PRICE,O,Entity vs O Error
pangsit,B-PRODUCT,I-PRODUCT,Boundary Error
dijual,I-PRODUCT,O,Entity vs O Error
terpisah,I-PRODUCT,O,Entity vs O Error
enakk,B-PRODUCT,I-PRODUCT,Boundary Error
cepat,I-PROMOTION,I-PRICE,Label Error
harga,B-PRICE,I-PRICE,Boundary Error
mantab,I-PRODUCT,B-PRODUCT,Boundary Error
rasa,I-PRODUCT,B-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
buat,I-PRODUCT,O,Entity vs O Error
kalian,I-PRODUCT,O,Entity vs O Error
pencinta,I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
UNK,B-PLACE,O,Entity vs O Error
untuk,I-PLACE,O,Entity vs O Error
pelayanan,I-PLACE,O,Entity vs O Error
.,I-PLACE,O,Entity vs O Error
Mohon,I-PLACE,O,Entity vs O Error
tingkatkan,I-PLACE,O,Entity vs O Error
kebersihan,I-PLACE,O,Entity vs O Error
saat,I-PLACE,O,Entity vs O Error
membersihkan,I-PLACE,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
kuahnya,B-PRODUCT,I-PRODUCT,Boundary Error
pelayanan,B-PROMOTION,O,Entity vs O Error
cukup,I-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
walaupun,I-PROMOTION,O,Entity vs O Error
ramai,I-PROMOTION,O,Entity vs O Error
pengunjunh,I-PROMOTION,O,Entity vs O Error
Pelayanan,B-PROMOTION,O,Entity vs O Error
nyaman,I-PROMOTION,I-PLACE,Label Error
jangan,B-PRODUCT,O,Entity vs O Error
lupa,I-PRODUCT,O,Entity vs O Error
pesen,I-PRODUCT,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
apalagi,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
untuk,B-PRODUCT,I-PRODUCT,Boundary Error
Sangat,B-PRODUCT,I-PRODUCT,Boundary Error
recommended,I-PRODUCT,O,Entity vs O Error
buat,I-PRODUCT,O,Entity vs O Error
para,I-PRODUCT,O,Entity vs O Error
pecinta,I-PRODUCT,O,Entity vs O Error
worth,I-PRODUCT,B-PRODUCT,Boundary Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
Udah,B-PRODUCT,O,Entity vs O Error
beberapa,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
siang,I-PRODUCT,O,Entity vs O Error
disini,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
harga,B-PRICE,I-PROMOTION,Label Error
affordable,I-PRICE,O,Entity vs O Error
",",I-PRICE,O,Entity vs O Error
UNK,I-PRICE,O,Entity vs O Error
HARUS,O,I-PROMOTION,Entity vs O Error
UNK,O,I-PROMOTION,Entity vs O Error
UNK,O,I-PROMOTION,Entity vs O Error
Saran,B-PLACE,O,Entity vs O Error
dari,I-PLACE,O,Entity vs O Error
kami,I-PLACE,O,Entity vs O Error
",",I-PLACE,O,Entity vs O Error
Tolong,I-PLACE,O,Entity vs O Error
genset,I-PLACE,O,Entity vs O Error
jangan,I-PLACE,O,Entity vs O Error
di,I-PLACE,O,Entity vs O Error
taro,I-PLACE,I-PROMOTION,Label Error
di,I-PLACE,O,Entity vs O Error
area,I-PLACE,O,Entity vs O Error
makan,I-PLACE,O,Entity vs O Error
.,I-PLACE,O,Entity vs O Error
Karna,I-PLACE,I-PROMOTION,Label Error
bising,I-PLACE,I-PROMOTION,Label Error
sekali,I-PLACE,O,Entity vs O Error
mengganggu,I-PLACE,I-PROMOTION,Label Error
suana,I-PLACE,O,Entity vs O Error
makan,I-PLACE,O,Entity vs O Error
.,I-PLACE,O,Entity vs O Error
Overall,O,B-PRODUCT,Entity vs O Error
mantab,O,I-PRODUCT,Entity vs O Error
Bakso,O,B-PRODUCT,Entity vs O Error
keju,O,I-PRODUCT,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
bakarnya,O,I-PRODUCT,Entity vs O Error
enak,O,I-PRODUCT,Entity vs O Error
banget,O,I-PRODUCT,Entity vs O Error
jujur,B-PRODUCT,O,Entity vs O Error
ga,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
pas,O,I-PRODUCT,Entity vs O Error
UNK,B-PRODUCT,I-PRODUCT,Boundary Error
uda,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
mie,B-PRODUCT,I-PRODUCT,Boundary Error
uda,I-PRODUCT,O,Entity vs O Error
UNK,I-PRODUCT,O,Entity vs O Error
bgt,I-PRODUCT,O,Entity vs O Error
UNK,B-PRICE,O,Entity vs O Error
UNK,I-PRICE,O,Entity vs O Error
15,I-PRICE,O,Entity vs O Error
-,I-PRICE,O,Entity vs O Error
30,I-PRICE,O,Entity vs O Error
K,I-PRICE,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
tapi,O,I-PRODUCT,Entity vs O Error
kurang,B-PRODUCT,I-PRODUCT,Boundary Error
 ,O,I-PRODUCT,Entity vs O Error
menurut,O,I-PRODUCT,Entity vs O Error
lidah,O,I-PRODUCT,Entity vs O Error
temenku,O,I-PRODUCT,Entity vs O Error
orang,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
mie,B-PRODUCT,I-PRODUCT,Boundary Error
(,O,I-PRODUCT,Entity vs O Error
bukan,O,I-PRODUCT,Entity vs O Error
ayam,O,I-PRODUCT,Entity vs O Error
yg,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
sampe,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
medok,O,I-PRODUCT,Entity vs O Error
gitu,O,I-PRODUCT,Entity vs O Error
),O,I-PRODUCT,Entity vs O Error
tapi,O,I-PRODUCT,Entity vs O Error
lebih,O,I-PRODUCT,Entity vs O Error
ke,O,I-PRODUCT,Entity vs O Error
potongan,B-PRODUCT,I-PRODUCT,Boundary Error
 ,O,I-PRODUCT,Entity vs O Error
buat,B-PRODUCT,I-PRODUCT,Boundary Error
menunya,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
kalau,B-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
ada,B-PRODUCT,I-PRODUCT,Boundary Error
Pelayanan,B-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
lembut,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
nampollllll,B-PRODUCT,I-PRODUCT,Boundary Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
kuahnya,B-PRODUCT,I-PRODUCT,Boundary Error
Pedesnya,B-PRODUCT,I-PRODUCT,Boundary Error
pelayanannya,B-PROMOTION,O,Entity vs O Error
ramah,I-PROMOTION,O,Entity vs O Error
bangettt,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
harga,B-PRICE,I-PRICE,Boundary Error
1,O,I-PLACE,Entity vs O Error
.,B-PLACE,O,Entity vs O Error
2,O,I-PLACE,Entity vs O Error
.,O,I-PLACE,Entity vs O Error
pas,B-PROMOTION,I-PLACE,Label Error
masuk,I-PROMOTION,I-PLACE,Label Error
sudah,I-PROMOTION,O,Entity vs O Error
ada,I-PROMOTION,I-PLACE,Label Error
UNK,I-PROMOTION,O,Entity vs O Error
dari,I-PROMOTION,O,Entity vs O Error
staff,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
langsung,I-PROMOTION,O,Entity vs O Error
dikasih,I-PROMOTION,O,Entity vs O Error
menu,I-PROMOTION,O,Entity vs O Error
yg,I-PROMOTION,O,Entity vs O Error
mau,I-PROMOTION,O,Entity vs O Error
dipesan,I-PROMOTION,O,Entity vs O Error
(,I-PROMOTION,O,Entity vs O Error
cari,I-PROMOTION,O,Entity vs O Error
tmpt,I-PROMOTION,O,Entity vs O Error
makan,I-PROMOTION,O,Entity vs O Error
sendiri,I-PROMOTION,O,Entity vs O Error
ya,I-PROMOTION,O,Entity vs O Error
),I-PROMOTION,O,Entity vs O Error
pesanan,B-PROMOTION,O,Entity vs O Error
dateng,I-PROMOTION,O,Entity vs O Error
ngga,I-PROMOTION,O,Entity vs O Error
UNK,I-PROMOTION,O,Entity vs O Error
10,I-PROMOTION,O,Entity vs O Error
UNK,I-PROMOTION,O,Entity vs O Error
kaya,I-PROMOTION,O,Entity vs O Error
nya,I-PROMOTION,O,Entity vs O Error
semua,B-PROMOTION,O,Entity vs O Error
staff,I-PROMOTION,O,Entity vs O Error
ramah,I-PROMOTION,O,Entity vs O Error
tp,I-PROMOTION,O,Entity vs O Error
agak,I-PROMOTION,O,Entity vs O Error
UNK,I-PROMOTION,O,Entity vs O Error
yaa,I-PROMOTION,O,Entity vs O Error
UNK,I-PROMOTION,O,Entity vs O Error
UNK,I-PROMOTION,O,Entity vs O Error
karna,I-PROMOTION,O,Entity vs O Error
